"id","name_en","name_fr","map_url","website","address1","address2","zip_code","country","state","city"
"21","Casa Del Popolo","Casa Del Popolo","https://maps.google.ca/maps?ie=UTF-8&q=casa+del+popolo&fb=1&gl=ca&hq=casa+del+popolo&cid=16777819646188218756&ei=JieeUri8IquQyQHIy4GgDA&ved=0CJ8BEPwS","http://casadelpopolo.com","4873 St.-Laurent","","H2T 1R6","Canada","Quebec","Montréal"
"148","Centaur Theatre","Théâtre Centaur","https://www.google.ca/maps/place/Centaur+Theatre+Company/@45.503586,-73.55657,15z/data=!4m2!3m1!1s0x0:0x23eef348d8c39f20?sa=X&ved=2ahUKEwja-OyN5f7dAhVqZN8KHXlXAoUQ_BIwEXoECAcQCw","https://centaurtheatre.com/","453 St Francois Xavier St","","H2Y 2T1","Canada","Quebec","Montreal"
"168","Center of Creation O Vertigo - CCOV","Centre de Création O Vertigo - CCOV","https://www.eventbrite.ca/e/ccov-x-nva-unravel-registration-64672433991?aff=ebdssbdestsearch#map-target","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwi7nJ-m5LfjAhXFVN8KHfRqCd0QFjAAegQIBRAD&url=https%3A%2F%2Fccov.org%2Fen%2F&usg=AOvVaw0g7layn3Lg2ePtJNg3-6hW","175 Rue Sainte-Catherine Ouest","","H2X 1Z8","Canada","QC","Montreal"
"47","Centre Bell","Centre Bell","http://maps.google.com/maps?q=centre+bell&hl=en&ll=45.49618,-73.562222&spn=0.024817,0.055747&sll=45.489396,-73.585268&sspn=0.012079,0.020063&hq=centre+bell&t=m&z=15&iwloc=A","http://www.centrebell.ca/","1909 avenue des Canadiens-de-Montréal","","H4B 5G0","Canada","Quebec","Montréal"
"133","Centre d'art La Chapelle","Centre d'art La Chapelle","https://www.google.ca/maps/place/Centre+d'art+La+Chapelle/@46.8244553,-71.2614432,15z/data=!4m2!3m1!1s0x0:0x75e808187c0dba9a?sa=X&ved=2ahUKEwjw_bbp5qvdAhWEg-AKHQQECwUQ_BIwDHoECAgQCw","http://centredartlachapelle.com/","620 Plante Ave","","G1M 3R5","Canada","Quebec","Quebec City"
"57","Centre Phi","Centre Phi","https://www.google.ca/maps/place/Centre+Phi/@45.501435,-73.556469,19z/data=!3m1!4b1!4m2!3m1!1s0x4cc91a59018f0667:0x8706f5fc9e95a185","http://phi-centre.com/","407 St-Pierre","","H2Y 2M3","Canada","Quebec","Montréal"
"70","Cepsum - Université de Montréal","Cepsum","https://www.google.ca/maps/place/Ctre+d'éducation+physique+et+des+sports,+Montréal,+QC+H3T+1J4/@45.5082162,-73.6148915,17z/data=!3m1!4b1!4m2!3m1!1s0x4cc9198e674459b1:0x4f491fdfaed91103","http://www.cepsum.umontreal.ca/","2100 boul. Édouard-Montpetit ","","H3T 1J4","Canada","Québec","Montréal"
"151","Cinéma du Musée - Musée des Beaux-Arts","Cinéma du Musée - Musée des Beaux-Arts","https://goo.gl/maps/dZBvFt2Byzr","https://www.mbam.qc.ca/renseignements/cinema-du-musee/","1380, Rue Sherbrooke O","","H3G1J5","Canada","QC","Montreal"
"55","Cinema du Parc","Cinéma du Parc","https://www.google.ca/maps?q=cinema+du+parc&ion=1&espv=2&bav=on.2,or.&bvm=bv.91071109,d.aWw&biw=2523&bih=1302&dpr=1&um=1&ie=UTF-8&sa=X&ei=i0I1VfDLAqHLsASuj4G4Aw&ved=0CAYQ_AUoAQ","http://www.cinemaduparc.com/","3575 ave. du Parc","","H2X 3P9","Canada","Quebec","Montréal"
"150","Cinéma Impérial","Cinéma Impérial","https://www.google.ca/maps/vt/data=w6wP7nNYZRWNO46ik8BCNPzQBnVeaEpt7Sy8xjzyf3Hyc1uXlRAuzSqXSPuYxqBXn9c2FbrH3SeLOjZVqsyrC8-OxuP-tvbSgNYDaMy7Xvncv-1yUrVzcWv8MjU-s-06mMLVAEQfGKORm6m60FlXI-ukyyIZhbHV8qYdDImcatuBElnJjZYhbphko5BYBIbRzUWtq9qQLzqNAezXccNOPUX5YANtM","http://www.cinemaimperial.com/","1430 Rue de Bleury","","H3A 2J1","Canada","QC","Montreal"
